Results from heasarc_fermilpsc: Fermi LAT Point Source Catalog
Coordinate system:  Equatorial
|ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|source_type|
|12 58 23.2|+32 27 15|   8.30035e-10|         0.00000e+00|bzq        |
|12 58 26.6|-18 02 47|   1.15070e-09|         2.89716e-10|bzq        |
|12 58 43.2|-22 21 28|   2.53292e-09|         4.03224e-10|bzq        |
|13 00 46.2|-55 47 56|   1.19612e-09|         4.19411e-10|           |
|13 00 54.5|-37 45 37|   7.27353e-10|         3.23664e-10|           |
|13 01 25.9|-62 45 39|   5.56779e-09|         1.05721e-09|           |
|13 01 30.7|-20 46 46|   6.95797e-10|         3.14909e-10|           |
|13 01 50.2|+08 37 29|   6.89480e-10|         2.38990e-10|           |
|13 02 22.2|-32 55 04|   2.46387e-09|         4.17383e-10|           |
|13 03 01.8|+24 33 59|   3.53545e-09|         3.97379e-10|bzb        |
|13 04 05.5|-46 22 06|   1.36837e-09|         0.00000e+00|bzq        |
|13 04 21.3|-43 52 07|   3.69075e-09|         4.77230e-10|           |
|13 05 28.4|-49 28 16|   1.14665e-09|         3.77527e-10|agn        |
|13 06 03.3|+78 52 05|   5.69988e-10|         2.01122e-10|agu        |
|13 06 28.7|-60 38 17|   4.22155e-09|         7.62647e-10|           |
|13 07 05.7|-40 30 37|   1.04035e-09|         3.26321e-10|           |
|13 07 23.3|-67 01 25|   1.38431e-09|         4.65467e-10|agu        |
|13 07 38.3|-42 59 59|   1.73909e-09|         3.64870e-10|           |
|13 08 34.7|+35 50 24|   2.21953e-09|         3.41749e-10|bzq        |
|13 09 14.9|+11 56 33|   7.38800e-10|         2.61104e-10|bzb        |
|13 09 34.4|+43 04 01|   1.97489e-09|         3.03882e-10|bzb        |
|13 09 58.9|-62 29 13|   3.47355e-09|         1.06904e-09|           |
|13 10 36.8|+32 22 03|   6.75731e-09|         5.22293e-10|bzq        |
|13 11 47.2|-34 29 40|   6.76585e-09|         6.00985e-10|           |
|13 12 26.4|+48 27 12|   1.41476e-09|         2.78222e-10|bzq        |
|13 12 29.8|-21 56 39|   3.13837e-09|         4.44777e-10|bzb        |
|13 12 36.1|+00 48 37|   2.75832e-09|         3.80915e-10|           |
|13 14 43.4|+23 46 27|   1.38081e-09|         2.68328e-10|bzb        |
|13 14 55.5|-53 38 09|   2.07133e-09|         4.95612e-10|           |
|13 15 03.2|-62 35 50|   5.13935e-09|         1.08520e-09|           |
|13 15 40.3|-07 29 52|   9.48187e-10|         0.00000e+00|           |
|13 16 07.8|-33 41 35|   3.93526e-09|         4.95987e-10|bzq        |
|13 17 30.8|-63 18 13|   4.45015e-09|         1.02000e-09|           |
|13 17 49.9|+34 25 57|   4.75479e-10|         2.36624e-10|bzq        |
|13 20 10.4|-40 07 36|   8.01342e-10|         3.63995e-10|           |
|13 20 39.1|-62 58 09|   4.69054e-09|         1.06876e-09|           |
|13 21 10.1|+22 14 54|   1.13732e-09|         2.82919e-10|bzq        |
|13 21 23.0|+83 11 00|   5.45363e-10|         2.14649e-10|agu        |
|13 22 03.6|-45 15 55|   1.29717e-09|         3.81570e-10|           |
|13 22 10.7|+08 38 49|   6.34543e-10|         2.41735e-10|           |
|13 22 43.4|-09 43 18|   7.15180e-10|         2.55596e-10|bzq        |
|13 23 06.1|+29 42 22|   1.42376e-09|         2.74591e-10|           |
|13 25 39.4|-43 00 40|   3.50010e-09|         5.00816e-10|agn        |
|13 26 36.1|+22 13 18|   2.29190e-09|         3.47574e-10|bzq        |
|13 27 01.7|-52 57 52|   5.17334e-09|         6.03188e-10|agu        |
|13 28 12.0|-47 29 57|   2.95287e-09|         4.67414e-10|           |
|13 29 13.0|-56 05 09|   4.07263e-09|         6.05926e-10|agu        |
|13 30 43.7|-70 06 30|   1.53828e-09|         4.15165e-10|agu        |
|13 31 04.1|+52 02 57|   5.25746e-10|         0.00000e+00|agn        |
|13 31 05.9|+69 57 01|   5.92961e-10|         1.99292e-10|           |
|13 31 57.6|-05 06 39|   3.87357e-09|         4.40344e-10|bzq        |
|13 32 39.0|-12 55 57|   3.84222e-09|         4.44419e-10|bzq        |
|13 32 58.7|+47 28 20|   4.53954e-10|         2.01599e-10|bzq        |
|13 33 12.6|+50 56 53|   1.42283e-09|         2.77458e-10|agu        |
|13 33 25.7|-40 36 15|   7.64937e-10|         3.61249e-10|           |
|13 34 15.1|-44 48 49|   1.47967e-09|         3.98353e-10|           |
|13 37 44.1|-12 55 44|   2.13912e-09|         3.69008e-10|bzq        |
|13 38 56.2|+11 53 02|   9.50178e-10|         2.62531e-10|bzb        |
|13 40 33.2|-04 13 57|   8.87025e-10|         2.75157e-10|           |
|13 40 41.7|+44 06 54|   4.86818e-10|         2.42110e-10|bzb        |
|13 41 10.7|-20 45 54|   6.48005e-10|         3.04669e-10|           |
|13 41 19.9|+39 51 15|   8.87244e-10|         0.00000e+00|bzb        |
|13 42 44.6|+57 53 15|   7.66913e-10|         0.00000e+00|           |
|13 43 42.4|-62 39 19|   8.25545e-09|         1.20993e-09|spp        |
|13 44 17.1|-17 23 33|   5.76377e-09|         5.36900e-10|bzq        |
|13 45 29.8|+44 53 47|   1.57157e-09|         3.06303e-10|bzq        |
|13 46 00.6|+07 03 46|   9.03871e-10|         2.45875e-10|agu        |
|13 47 52.1|-37 51 18|   1.08839e-09|         3.35365e-10|bzq        |
|13 50 49.5|-62 12 08|   1.13664e-08|         1.37082e-09|spp        |
|13 51 00.4|+30 35 10|   6.01453e-10|         2.35792e-10|bzq        |
|13 51 31.3|+11 15 22|   4.26713e-10|         2.02373e-10|bzb        |
|13 51 48.8|-15 23 36|   1.17601e-09|         0.00000e+00|           |
|13 53 22.9|+14 34 51|   4.88096e-10|         2.00092e-10|bzb        |
|13 53 39.8|-66 40 33|   1.51808e-09|         4.28698e-10|           |
|13 54 54.1|-10 41 27|   2.00457e-09|         3.45221e-10|bzq        |
|13 58 07.1|+76 46 26|   1.13844e-09|         2.42528e-10|bzq        |
|13 59 08.5|+55 39 51|   8.54462e-10|         2.34309e-10|bzq        |
|14 00 08.4|-37 43 04|   7.62675e-10|         3.29060e-10|bzb        |
|14 00 54.5|-55 59 44|   2.42179e-09|         5.00577e-10|agu        |
|14 05 11.7|-61 23 41|   1.93302e-08|         1.68506e-09|           |
|14 05 35.5|-58 46 52|   1.57515e-09|         6.05779e-10|           |
|14 06 16.4|-25 10 12|   8.61684e-10|         2.99510e-10|           |
|14 07 33.1|-42 56 55|   1.03156e-09|         3.15422e-10|agu        |
|14 07 33.5|-09 44 32|   5.58358e-10|         2.64413e-10|           |
|14 07 55.9|-29 28 30|   9.64770e-10|         0.00000e+00|           |
|14 08 55.6|-07 51 01|   1.76954e-09|         3.36482e-10|bzq        |
|14 10 23.3|-61 28 09|   1.40677e-08|         1.67627e-09|spp        |
|14 12 36.6|+74 06 44|   5.42073e-10|         2.29831e-10|           |
|14 13 29.9|-62 05 38|   2.61708e-08|         1.63690e-09|PSR        |
|14 16 17.5|-10 01 51|   7.24877e-10|         2.65122e-10|           |
|14 17 42.7|-44 07 56|   1.36138e-09|         3.55965e-10|           |
|14 17 45.6|-50 30 40|   1.50730e-09|         4.33907e-10|           |
|14 17 51.4|+25 41 02|   8.29045e-10|         2.49192e-10|bzb        |
|14 18 23.6|-02 35 21|   1.86730e-09|         3.21716e-10|bzb        |
|14 18 43.8|-60 57 40|   4.38987e-08|         3.28855e-09|PSR        |
|14 19 44.0|+77 31 27|   5.03349e-10|         2.32567e-10|           |
|14 20 08.2|-60 48 17|   2.36774e-08|         3.04868e-09|PSR        |
|14 21 01.6|+54 21 22|   8.69548e-10|         2.32620e-10|           |
|14 22 14.5|+57 57 46|   7.06815e-10|         0.00000e+00|bzb        |
|14 22 45.4|+37 43 33|   6.56640e-10|         2.28095e-10|bzb        |
|14 24 32.1|-78 47 14|   1.17860e-09|         3.57059e-10|bzq        |
|14 25 04.4|+36 14 46|   6.87833e-10|         2.26050e-10|bzb        |
|14 26 03.6|+34 03 34|   6.75273e-10|         2.06030e-10|bzb        |
|14 26 59.9|+23 47 55|   1.02365e-08|         6.30438e-10|bzb        |
|14 28 16.9|-42 04 16|   3.35953e-09|         4.88308e-10|bzq        |
|14 28 43.0|+42 39 24|   9.30659e-10|         2.39098e-10|bzb        |
|14 29 58.6|-59 11 37|   1.04220e-08|         1.05968e-09|PSR        |
|14 33 58.2|+42 04 54|   6.73519e-10|         2.14434e-10|bzq        |
|14 36 56.8|+23 15 00|   5.06213e-10|         2.41000e-10|bzq        |
|14 37 02.8|+56 40 19|   5.62411e-10|         2.15080e-10|bzb        |
|14 38 43.9|+37 11 09|   7.06398e-10|         2.33535e-10|bzq        |
|14 39 14.4|+39 30 17|   7.41299e-10|         2.31164e-10|bzb        |
|14 40 59.3|+06 13 24|   1.18755e-09|         2.88922e-10|bzb        |
|14 41 47.9|-15 38 14|   8.02776e-10|         0.00000e+00|bzb        |
|14 41 48.6|-64 04 36|   1.94086e-09|         0.00000e+00|           |
|14 42 01.3|-60 00 49|   9.65375e-09|         1.31572e-09|spp        |
|14 42 07.2|+43 48 08|   7.85726e-10|         2.28304e-10|bzb        |
|14 42 51.2|+11 58 20|   7.64376e-10|         2.13069e-10|bzb        |
|14 43 53.6|+24 57 24|   5.97193e-10|         2.42610e-10|bzq        |
|14 44 01.2|-39 06 58|   3.45226e-09|         4.50211e-10|bzb        |
|14 46 48.6|-47 02 27|   1.72038e-09|         4.29346e-10|           |
|14 47 57.1|+36 08 55|   1.82842e-09|         3.03657e-10|bzb        |
|14 51 04.3|+52 04 07|   9.36331e-10|         2.68215e-10|bzb        |
|14 54 37.9|+51 25 29|   1.13792e-09|         2.62507e-10|bzb        |
|14 57 30.3|-35 40 31|   1.68704e-08|         8.80260e-10|bzq        |
|14 59 29.9|-60 53 16|   1.35013e-08|         1.07890e-09|PSR        |
|15 01 07.6|+22 37 24|   2.09473e-09|         3.19336e-10|bzb        |
|15 01 38.2|-42 04 55|   9.31167e-10|         3.39739e-10|spp        |
|15 03 19.4|+47 59 24|   6.08762e-10|         2.18799e-10|bzb        |
|15 03 29.6|-58 05 57|   4.41407e-09|         1.03418e-09|           |
|15 03 34.7|-15 44 34|   1.15609e-09|         3.61664e-10|bzb        |
|15 04 24.6|+10 29 34|   6.69885e-08|         1.55091e-09|BZQ        |
|15 05 04.8|+03 28 22|   1.09357e-09|         2.98424e-10|agn        |
|15 05 11.3|-34 35 29|   7.60789e-10|         3.10390e-10|agu        |
|15 05 48.9|+37 25 50|   7.42263e-10|         2.36434e-10|bzq        |
|15 08 14.3|-13 06 51|   7.49952e-10|         3.09439e-10|           |
|15 09 24.0|+56 02 38|   7.64464e-10|         0.00000e+00|bzb        |
|15 09 27.1|-58 50 56|   1.76849e-08|         1.46739e-09|PSR        |
|15 09 45.7|-08 43 50|   1.38384e-09|         0.00000e+00|           |
|15 10 49.5|-58 04 19|   5.05507e-09|         1.11136e-09|           |
|15 11 09.8|-05 45 34|   2.05135e-09|         4.06648e-10|bzq        |
|15 11 53.6|-05 13 49|   1.42328e-09|         3.88484e-10|           |
|15 11 55.2|-02 11 50|   1.02832e-09|         3.35797e-10|           |
|15 11 57.0|-22 53 20|   6.98109e-10|         3.15536e-10|           |
|15 12 21.4|+02 01 39|   2.33138e-09|         3.68687e-10|bzq        |
|15 12 49.6|-09 06 09|   4.85991e-08|         1.40159e-09|BZQ        |
|15 13 16.8|-59 04 56|   3.27370e-09|         1.16389e-09|PSR        |
|15 14 07.8|-47 45 10|   1.18113e-09|         4.21384e-10|agu        |
|15 14 07.8|-49 45 37|   7.77480e-09|         7.17471e-10|           |
|15 14 43.2|-59 17 33|   3.39054e-09|         0.00000e+00|spp        |
|15 14 43.7|+44 47 01|   8.31434e-10|         2.38024e-10|bzq        |
|15 15 33.9|+54 48 13|   6.80154e-10|         0.00000e+00|           |
|15 16 59.9|+19 28 59|   6.47107e-10|         2.86427e-10|bzb        |
|15 17 48.9|-24 23 05|   5.64604e-09|         5.48221e-10|bzb        |
|15 17 49.8|+65 30 33|   4.99028e-10|         2.05986e-10|bzb        |
|15 18 04.6|-52 33 55|   2.35255e-09|         4.96511e-10|           |
|15 19 44.1|+42 16 32|   4.26018e-10|         1.92859e-10|bzq        |
|15 21 01.1|-03 50 13|   1.71410e-09|         3.47227e-10|           |
|15 21 48.7|-57 34 02|   1.06669e-08|         1.21093e-09|spp        |
|15 22 10.8|+31 43 56|   1.58888e-08|         7.77433e-10|bzq        |
|15 22 41.0|-27 32 46|   2.77654e-09|         4.39848e-10|bzb        |
|15 27 39.8|+41 52 02|   8.37865e-10|         0.00000e+00|           |
|15 31 49.4|+30 18 41|   5.49234e-10|         2.01022e-10|bzb        |
|15 36 35.0|-49 49 05|   1.10333e-08|         8.51833e-10|           |
|15 36 37.0|+82 00 42|   7.93703e-10|         2.37123e-10|agu        |
|15 39 03.1|-33 28 06|   3.58342e-09|         5.06702e-10|           |
|15 39 46.3|+27 47 57|   9.89168e-10|         2.45467e-10|bzq        |
|15 42 40.2|-54 07 51|   6.00079e-09|         1.14935e-09|           |
|15 42 58.6|+61 29 10|   5.16812e-09|         4.46122e-10|bzb        |
|15 42 59.4|-25 59 06|   9.70663e-10|         3.43184e-10|           |
|15 44 01.3|-02 52 07|   7.44348e-10|         3.45258e-10|           |
|15 44 34.0|-11 27 26|   1.34549e-09|         3.53526e-10|           |
|15 48 36.6|+14 51 15|   1.26701e-09|         2.92551e-10|           |
|15 48 46.2|-22 50 22|   1.44759e-09|         3.65127e-10|bzb        |
|15 48 48.0|+63 11 19|   5.20673e-10|         1.93647e-10|           |
|15 48 56.9|-55 09 53|   5.08190e-09|         1.11467e-09|           |
|15 49 22.3|+02 35 43|   2.43868e-09|         3.87056e-10|bzq        |
|15 49 44.0|-06 59 37|   1.46266e-09|         3.34295e-10|           |
|15 50 43.7|+05 27 35|   1.25235e-09|         3.04640e-10|bzq        |
|15 51 47.2|+08 51 16|   5.86494e-10|         2.68681e-10|bzb        |
|15 52 29.8|-56 09 11|   5.94703e-09|         8.35726e-10|spp        |
|15 53 27.1|+12 55 38|   6.96102e-09|         5.64563e-10|bzq        |
|15 53 29.0|-24 25 16|   1.10545e-09|         3.59533e-10|agu        |
|15 53 32.9|-31 16 17|   1.12147e-09|         3.50776e-10|           |
|15 53 41.4|-03 00 54|   1.00157e-09|         3.97688e-10|           |
|15 53 57.3|+49 52 21|   5.83067e-10|         2.11125e-10|           |
|15 54 04.2|-53 45 59|   1.22636e-08|         1.65184e-09|           |
|15 54 48.3|-53 12 34|   1.25787e-08|         1.73894e-09|           |
|15 55 45.2|+11 11 32|   1.36715e-08|         7.30855e-10|bzb        |
|15 55 58.5|-52 26 28|   4.90466e-09|         1.34110e-09|           |
|15 58 56.9|+56 27 45|   1.76870e-09|         3.10102e-10|bzb        |
|16 00 42.9|-30 55 36|   1.30618e-09|         3.27121e-10|psr        |
|16 01 43.7|-42 17 42|   1.68649e-09|         5.13815e-10|           |
|16 03 53.2|-49 03 58|   1.34070e-08|         1.06668e-09|agu        |
|16 04 20.7|+57 10 23|   1.15449e-09|         2.71211e-10|bzq        |
|16 04 44.0|-44 43 03|   7.72066e-09|         7.83276e-10|agu        |
|16 07 10.2|+15 52 16|   2.38549e-09|         3.62188e-10|agn        |
|16 07 35.9|-20 30 43|   8.77153e-10|         3.65647e-10|           |
|16 09 00.9|+10 31 36|   1.08297e-09|         2.92018e-10|bzq        |
|16 10 40.4|-66 49 43|   2.94719e-09|         4.30157e-10|bzb        |
|16 10 48.9|-39 55 00|   1.65227e-09|         4.73275e-10|bzq        |
|16 13 33.6|+34 11 27|   5.38009e-10|         2.49375e-10|bzq        |
|16 13 40.7|-51 00 04|   1.32017e-08|         1.76637e-09|           |
|16 14 00.0|-22 30 00|   4.98618e-09|         5.55992e-10|PSR        |
|16 14 42.3|-51 38 29|   1.46976e-08|         1.63190e-09|           |
|16 16 07.2|+46 37 35|   5.50064e-10|         2.17019e-10|bzq        |
|16 16 37.3|-50 35 10|   6.80662e-09|         1.65646e-09|           |
|16 17 33.9|-51 05 08|   6.94758e-09|         1.60490e-09|spp        |
|16 17 46.2|-58 43 58|   2.34361e-09|         5.32880e-10|agu        |
|16 17 55.3|-77 16 19|   3.67956e-09|         4.93365e-10|bzq        |
|16 19 22.3|-52 22 44|   4.25528e-09|         9.11090e-10|           |
|16 19 45.3|-50 43 53|   1.42995e-08|         1.87067e-09|           |
|16 20 52.1|-49 28 32|   2.38300e-08|         1.83351e-09|           |
|16 20 55.3|-27 31 39|   1.04707e-09|         4.47628e-10|           |
|16 22 54.0|-50 08 12|   1.50259e-08|         1.92490e-09|           |
|16 23 34.1|-23 45 10|   2.96009e-09|         6.28794e-10|           |
|16 23 43.5|-49 43 59|   1.10204e-08|         2.00400e-09|           |
|16 24 03.9|-40 41 23|   4.90696e-09|         6.89157e-10|           |
|16 24 45.7|-06 42 41|   1.03507e-09|         0.00000e+00|agu        |
|16 25 19.6|-00 19 31|   4.33202e-09|         4.83335e-10|           |
|16 25 42.7|-25 24 59|   4.39841e-09|         6.22546e-10|bzq        |
|16 25 53.9|-24 29 50|   4.89986e-09|         7.70561e-10|           |
|16 26 01.3|-49 17 17|   8.71964e-09|         1.54666e-09|           |
|16 26 15.9|-29 56 28|   2.23321e-09|         4.73436e-10|bzq        |
|16 26 16.8|-20 38 55|   1.62276e-09|         4.65295e-10|           |
|16 27 37.5|+32 18 58|   1.00366e-09|         2.43789e-10|           |
|16 27 48.2|-32 04 35|   2.03461e-09|         4.49585e-10|           |
|16 27 53.0|-17 11 24|   1.47792e-09|         4.16449e-10|           |
|16 27 55.6|+02 54 56|   9.48478e-10|         2.67752e-10|           |
|16 28 39.2|-24 19 47|   2.77897e-09|         6.68761e-10|           |
|16 29 30.4|-61 47 44|   2.43825e-09|         4.73140e-10|agu        |
|16 30 16.4|+52 20 23|   1.06569e-09|         2.66885e-10|bzb        |
|16 30 20.1|-10 42 40|   1.20527e-09|         3.71489e-10|           |
|16 30 33.9|+37 35 52|   1.36536e-09|         3.07401e-10|           |
|16 32 43.3|-47 33 54|   1.23722e-08|         1.82527e-09|           |
|16 32 46.2|-24 31 14|   4.03758e-09|         6.37787e-10|           |
|16 32 54.2|-48 02 25|   2.03222e-08|         1.91798e-09|           |
|16 35 04.8|+38 08 25|   6.77955e-09|         5.48151e-10|bzq        |
|16 35 24.9|+82 28 13|   1.16079e-09|         2.81939e-10|agn        |
|16 35 46.6|-47 15 42|   1.54989e-08|         2.13347e-09|pwn        |
|16 36 29.5|-47 37 29|   1.76630e-08|         2.12343e-09|           |
|16 37 57.0|+47 07 45|   9.63994e-10|         0.00000e+00|bzq        |
|16 39 35.0|-51 52 38|   3.94941e-09|         7.04672e-10|           |
|16 40 48.5|-46 34 54|   1.95475e-08|         1.73855e-09|spp        |
|16 41 00.4|+11 43 31|   7.73875e-10|         2.38883e-10|agn        |
|16 42 33.6|+39 47 39|   5.59114e-09|         4.91347e-10|           |
|16 43 33.3|-06 46 49|   2.34467e-09|         4.42113e-10|           |
|16 45 01.1|-21 55 56|   2.31639e-09|         5.01177e-10|           |
|16 47 24.0|+49 48 49|   1.12975e-09|         2.67871e-10|agn        |
|16 47 56.1|-11 19 40|   1.63418e-09|         4.27604e-10|           |
|16 48 26.6|-46 09 36|   1.42484e-08|         1.63854e-09|psr        |
|16 49 21.8|-45 01 52|   1.14022e-08|         1.58952e-09|           |
|16 49 38.7|+52 41 36|   9.97341e-10|         2.45591e-10|           |
|16 50 24.0|-54 10 42|   1.14402e-09|         0.00000e+00|           |
|16 50 25.5|-50 42 23|   4.88142e-09|         7.09211e-10|agu        |
|16 51 31.9|-46 02 02|   1.11442e-08|         1.44339e-09|           |
|16 52 50.8|-43 50 23|   1.62232e-08|         1.61159e-09|           |
|16 53 41.0|-01 58 34|   4.69547e-09|         5.20403e-10|           |
|16 53 57.5|+39 45 10|   8.34800e-09|         5.77857e-10|bzb        |
|16 56 13.2|-32 57 05|   2.05741e-09|         4.99753e-10|           |
|16 56 59.2|+60 17 20|   8.26796e-10|         2.31005e-10|bzq        |
|16 56 59.4|-10 33 03|   1.54843e-09|         0.00000e+00|           |
|16 58 50.4|-53 17 17|   2.95376e-09|         5.53070e-10|           |
|17 00 10.8|+68 30 35|   3.71639e-09|         4.08601e-10|bzq        |
|17 01 08.3|-30 05 45|   3.30071e-09|         5.45586e-10|glc        |
|17 02 24.9|-41 47 09|   8.15989e-09|         1.35887e-09|           |
|17 02 26.2|-56 54 00|   3.96360e-09|         5.81174e-10|           |
|17 02 46.5|-62 17 35|   1.20557e-09|         4.09733e-10|bzq        |
|17 05 31.0|-40 34 39|   5.72386e-09|         1.29106e-09|           |
|17 07 10.0|-41 58 02|   3.10040e-09|         1.08420e-09|           |
|17 07 54.4|-41 10 12|   5.21240e-09|         1.14523e-09|           |
|17 08 25.5|-07 55 05|   1.60608e-09|         4.40003e-10|           |
|17 09 10.0|-03 43 44|   1.13496e-09|         4.33608e-10|           |
|17 09 40.7|+43 20 33|   1.51377e-09|         2.87115e-10|bzq        |
|17 09 42.7|-44 29 08|   1.71044e-07|         2.80882e-09|PSR        |
|17 09 52.0|-20 26 06|   1.47197e-09|         4.11240e-10|           |
|17 11 46.7|-39 44 46|   7.05365e-09|         1.24699e-09|spp        |
|17 13 59.1|+07 50 38|   1.41880e-09|         3.18496e-10|psr        |
|17 14 35.3|-38 30 10|   1.73669e-08|         1.68662e-09|           |
|17 15 16.9|-33 19 57|   2.84057e-09|         7.00238e-10|           |
|17 16 54.6|-38 30 48|   5.89067e-09|         0.00000e+00|           |
|17 17 59.3|-37 29 28|   1.08933e-08|         1.40937e-09|           |
|17 17 59.5|-33 43 38|   7.63528e-09|         9.68010e-10|bzb        |
|17 18 13.6|-38 25 18|   1.18942e-08|         1.86208e-09|PSR        |
|17 19 13.3|+17 45 23|   4.71788e-09|         4.67981e-10|bzb        |
|17 20 46.0|-37 07 40|   6.38249e-09|         1.31192e-09|           |
|17 21 09.1|+07 13 07|   1.22205e-09|         3.30755e-10|           |
|17 22 25.2|-04 21 17|   1.71475e-09|         4.57305e-10|           |
|17 22 35.9|+10 12 52|   1.20826e-09|         3.24373e-10|bzq        |
|17 24 01.1|-36 11 18|   6.17674e-09|         1.35157e-09|           |
|17 24 01.6|-34 48 09|   3.66298e-09|         1.28891e-09|           |
|17 24 02.4|+40 02 28|   2.85635e-09|         3.83318e-10|agn        |
|17 25 04.1|+11 51 26|   3.36254e-09|         4.33418e-10|bzb        |
|17 25 13.3|-05 09 15|   1.41326e-09|         4.84310e-10|           |
|17 25 33.5|+58 54 01|   1.21790e-09|         2.66198e-10|bzb        |
|17 25 35.3|-28 32 34|   1.66161e-09|         6.84184e-10|spp        |
|17 26 14.3|-35 21 39|   1.24130e-08|         1.55462e-09|           |
|17 26 14.6|-07 24 18|   1.80879e-09|         4.75535e-10|           |
|17 27 21.4|+45 25 16|   1.20162e-09|         2.71787e-10|bzq        |
|17 27 59.5|+50 10 53|   9.15662e-10|         2.44309e-10|bzb        |
|17 28 17.0|+04 31 27|   1.26699e-09|         3.48925e-10|bzq        |
|17 29 10.1|-34 52 42|   7.33732e-09|         1.38554e-09|           |
|17 29 11.8|-36 41 14|   4.57774e-09|         1.02779e-09|           |
|17 29 48.1|-41 48 14|   1.69146e-09|         0.00000e+00|           |
|17 30 01.8|-34 08 32|   8.36295e-09|         1.40521e-09|           |
|17 30 26.9|-24 06 42|   3.86508e-09|         6.71014e-10|           |
|17 30 28.5|+00 08 25|   9.58016e-10|         3.67742e-10|bzq        |
|17 30 43.2|-03 52 20|   2.04861e-09|         4.32256e-10|           |
|17 30 49.6|+37 16 38|   9.50407e-10|         2.65682e-10|bzb        |
|17 32 04.6|-29 57 13|   5.53357e-09|         9.13843e-10|           |
|17 32 20.8|-32 43 46|   1.31182e-08|         1.53197e-09|           |
|17 32 33.5|-31 31 21|   4.28790e-08|         1.83674e-09|PSR        |
|17 33 04.3|-13 08 23|   3.56679e-09|         5.49406e-10|bzq        |
|17 33 14.7|-26 28 41|   6.09332e-09|         8.54023e-10|           |
|17 34 24.7|+38 59 11|   6.03522e-09|         5.13858e-10|bzq        |
|17 35 07.6|-07 29 50|   1.53782e-09|         4.68080e-10|           |
|17 35 28.8|-11 18 50|   1.64405e-09|         0.00000e+00|agu        |
|17 35 46.1|+20 31 16|   6.55592e-10|         2.55696e-10|           |
|17 35 55.7|-44 38 48|   3.36026e-09|         5.72352e-10|glc        |
|17 36 20.9|+06 28 40|   7.56895e-10|         2.95057e-10|bzq        |
|17 38 35.7|-26 56 12|   6.44080e-09|         9.24696e-10|           |
|17 39 29.4|+87 17 23|   3.10818e-09|         3.83761e-10|           |
|17 40 04.6|+52 09 38|   3.37355e-09|         4.06039e-10|           |
|17 40 20.8|-30 54 00|   2.39745e-08|         1.77187e-09|           |
|17 41 51.3|-21 01 10|   1.50783e-08|         9.93087e-10|PSR        |
|17 42 10.7|+59 47 53|   5.50217e-10|         2.48184e-10|bzb        |
|17 43 31.0|-33 14 05|   7.59946e-09|         9.89247e-10|           |
|17 43 50.5|-76 20 30|   4.01626e-09|         5.10552e-10|           |
|17 44 01.0|-29 31 57|   1.36366e-08|         2.00932e-09|           |
|17 44 17.0|+19 34 14|   1.11060e-09|         2.76356e-10|bzb        |
|17 44 29.4|-11 34 55|   4.88963e-09|         6.37191e-10|PSR        |
|17 44 36.5|-03 54 49|   1.34304e-09|         4.72490e-10|           |
|17 45 30.5|+10 18 37|   1.59892e-09|         3.48553e-10|           |
|17 45 40.7|-29 00 50|   5.77897e-08|         3.71278e-09|spp        |
|17 45 41.9|-07 51 12|   1.50510e-09|         4.61049e-10|bzb        |
|17 46 28.2|-28 49 05|   2.28281e-08|         3.53521e-09|pwn        |
|17 46 45.8|-32 33 19|   1.23026e-08|         1.12297e-09|           |
|17 47 02.9|+02 21 27|   1.28594e-09|         3.75464e-10|           |
|17 47 15.8|-29 58 01|   2.81747e-08|         1.82364e-09|PSR        |
|17 47 26.5|-40 35 19|   2.63018e-09|         5.27045e-10|           |
|17 47 40.4|-28 20 07|   1.69385e-08|         2.02185e-09|           |
|17 47 54.4|-24 48 15|   1.35211e-08|         1.12716e-09|glc        |
|17 48 22.9|-29 16 25|   8.41703e-09|         1.59266e-09|           |
|17 48 31.3|+70 04 56|   1.99083e-09|         3.21703e-10|bzb        |
|17 48 45.5|-20 20 55|   3.58249e-09|         6.63173e-10|glc        |
|17 49 04.9|+43 23 41|   2.29562e-09|         3.48203e-10|bzb        |
|17 49 33.9|-03 01 14|   1.44632e-09|         4.22204e-10|           |
|17 51 33.5|+09 37 39|   6.44902e-09|         5.75013e-10|bzb        |
|17 54 02.0|-50 02 05|   9.58601e-10|         3.39092e-10|           |
|17 54 19.7|+32 12 07|   2.66706e-09|         3.56859e-10|           |
|17 54 34.2|-25 37 13|   1.03944e-08|         1.41778e-09|           |
|17 56 36.9|+55 24 15|   5.79040e-10|         2.56971e-10|bzb        |
|18 00 29.9|+78 27 59|   3.03773e-09|         3.69022e-10|bzb        |
|18 00 32.6|-24 00 00|   2.13768e-08|         1.78311e-09|           |
|18 01 19.4|-23 22 59|   4.68759e-08|         2.12349e-09|spp        |
|18 02 32.6|-39 39 42|   1.03986e-08|         7.75734e-10|agu        |
|18 03 11.7|-21 47 28|   1.85583e-08|         1.72245e-09|           |
|18 04 11.7|+03 36 48|   1.06604e-09|         3.66053e-10|bzq        |
|18 05 14.6|-21 37 34|   2.12044e-08|         1.93431e-09|spp        |
|18 06 16.9|+06 09 23|   2.11328e-09|         4.02015e-10|           |
|18 06 51.5|-21 09 50|   1.33771e-08|         1.64928e-09|spp        |
